# x y z    vx vy vz    mass
0.050 0.050 0.050   0.0 0.0 0.0   1.0
0.050 0.050 0.150   0.0 0.0 0.0   1.0
0.050 0.050 0.250   0.0 0.0 0.0   1.0
0.050 0.050 0.350   0.0 0.0 0.0   1.0
0.050 0.050 0.450   0.0 0.0 0.0   1.0
0.050 0.050 0.550   0.0 0.0 0.0   1.0
0.050 0.050 0.650   0.0 0.0 0.0   1.0
0.050 0.050 0.750   0.0 0.0 0.0   1.0
0.050 0.150 0.050   0.0 0.0 0.0   1.0
0.050 0.150 0.150   0.0 0.0 0.0   1.0
0.050 0.150 0.250   0.0 0.0 0.0   1.0
0.050 0.150 0.350   0.0 0.0 0.0   1.0
0.050 0.150 0.450   0.0 0.0 0.0   1.0
0.050 0.150 0.550   0.0 0.0 0.0   1.0
0.050 0.150 0.650   0.0 0.0 0.0   1.0
0.050 0.150 0.750   0.0 0.0 0.0   1.0
0.050 0.250 0.050   0.0 0.0 0.0   1.0
0.050 0.250 0.150   0.0 0.0 0.0   1.0
0.050 0.250 0.250   0.0 0.0 0.0   1.0
0.050 0.250 0.350   0.0 0.0 0.0   1.0
0.050 0.250 0.450   0.0 0.0 0.0   1.0
0.050 0.250 0.550   0.0 0.0 0.0   1.0
0.050 0.250 0.650   0.0 0.0 0.0   1.0
0.050 0.250 0.750   0.0 0.0 0.0   1.0
0.050 0.350 0.050   0.0 0.0 0.0   1.0
0.050 0.350 0.150   0.0 0.0 0.0   1.0
0.050 0.350 0.250   0.0 0.0 0.0   1.0
0.050 0.350 0.350   0.0 0.0 0.0   1.0
0.050 0.350 0.450   0.0 0.0 0.0   1.0
0.050 0.350 0.550   0.0 0.0 0.0   1.0
0.050 0.350 0.650   0.0 0.0 0.0   1.0
0.050 0.350 0.750   0.0 0.0 0.0   1.0
0.050 0.450 0.050   0.0 0.0 0.0   1.0
0.050 0.450 0.150   0.0 0.0 0.0   1.0
0.050 0.450 0.250   0.0 0.0 0.0   1.0
0.050 0.450 0.350   0.0 0.0 0.0   1.0
0.050 0.450 0.450   0.0 0.0 0.0   1.0
0.050 0.450 0.550   0.0 0.0 0.0   1.0
0.050 0.450 0.650   0.0 0.0 0.0   1.0
0.050 0.450 0.750   0.0 0.0 0.0   1.0
0.050 0.550 0.050   0.0 0.0 0.0   1.0
0.050 0.550 0.150   0.0 0.0 0.0   1.0
0.050 0.550 0.250   0.0 0.0 0.0   1.0
0.050 0.550 0.350   0.0 0.0 0.0   1.0
0.050 0.550 0.450   0.0 0.0 0.0   1.0
0.050 0.550 0.550   0.0 0.0 0.0   1.0
0.050 0.550 0.650   0.0 0.0 0.0   1.0
0.050 0.550 0.750   0.0 0.0 0.0   1.0
0.050 0.650 0.050   0.0 0.0 0.0   1.0
0.050 0.650 0.150   0.0 0.0 0.0   1.0
0.050 0.650 0.250   0.0 0.0 0.0   1.0
0.050 0.650 0.350   0.0 0.0 0.0   1.0
0.050 0.650 0.450   0.0 0.0 0.0   1.0
0.050 0.650 0.550   0.0 0.0 0.0   1.0
0.050 0.650 0.650   0.0 0.0 0.0   1.0
0.050 0.650 0.750   0.0 0.0 0.0   1.0
0.050 0.750 0.050   0.0 0.0 0.0   1.0
