# x y z    vx vy vz    mass
0.500 0.500 0.500   0.0 0.0 0.0   1.0
0.500 0.500 0.600   0.0 0.0 0.0   1.0
0.500 0.500 0.700   0.0 0.0 0.0   1.0
0.500 0.500 0.800   0.0 0.0 0.0   1.0
0.500 0.600 0.500   0.0 0.0 0.0   1.0
0.500 0.600 0.600   0.0 0.0 0.0   1.0
0.500 0.600 0.700   0.0 0.0 0.0   1.0
0.500 0.600 0.800   0.0 0.0 0.0   1.0
0.500 0.700 0.500   0.0 0.0 0.0   1.0
0.500 0.700 0.600   0.0 0.0 0.0   1.0
0.500 0.700 0.700   0.0 0.0 0.0   1.0
0.500 0.700 0.800   0.0 0.0 0.0   1.0
0.500 0.800 0.500   0.0 0.0 0.0   1.0
0.500 0.800 0.600   0.0 0.0 0.0   1.0
0.500 0.800 0.700   0.0 0.0 0.0   1.0
0.500 0.800 0.800   0.0 0.0 0.0   1.0
0.600 0.500 0.500   0.0 0.0 0.0   1.0
0.600 0.500 0.600   0.0 0.0 0.0   1.0
0.600 0.500 0.700   0.0 0.0 0.0   1.0
0.600 0.500 0.800   0.0 0.0 0.0   1.0
0.600 0.600 0.500   0.0 0.0 0.0   1.0
0.600 0.600 0.600   0.0 0.0 0.0   1.0
0.600 0.600 0.700   0.0 0.0 0.0   1.0
0.600 0.600 0.800   0.0 0.0 0.0   1.0
0.600 0.700 0.500   0.0 0.0 0.0   1.0
0.600 0.700 0.600   0.0 0.0 0.0   1.0
0.600 0.700 0.700   0.0 0.0 0.0   1.0
0.600 0.700 0.800   0.0 0.0 0.0   1.0
0.600 0.800 0.500   0.0 0.0 0.0   1.0
0.600 0.800 0.600   0.0 0.0 0.0   1.0
0.600 0.800 0.700   0.0 0.0 0.0   1.0
0.600 0.800 0.800   0.0 0.0 0.0   1.0
0.700 0.500 0.500   0.0 0.0 0.0   1.0
0.700 0.500 0.600   0.0 0.0 0.0   1.0
0.700 0.500 0.700   0.0 0.0 0.0   1.0
0.700 0.500 0.800   0.0 0.0 0.0   1.0
0.700 0.600 0.500   0.0 0.0 0.0   1.0
0.700 0.600 0.600   0.0 0.0 0.0   1.0
0.700 0.600 0.700   0.0 0.0 0.0   1.0
0.700 0.600 0.800   0.0 0.0 0.0   1.0
0.700 0.700 0.500   0.0 0.0 0.0   1.0
0.700 0.700 0.600   0.0 0.0 0.0   1.0
0.700 0.700 0.700   0.0 0.0 0.0   1.0
0.700 0.700 0.800   0.0 0.0 0.0   1.0
0.700 0.800 0.500   0.0 0.0 0.0   1.0
0.700 0.800 0.600   0.0 0.0 0.0   1.0
0.700 0.800 0.700   0.0 0.0 0.0   1.0
0.700 0.800 0.800   0.0 0.0 0.0   1.0
0.800 0.500 0.500   0.0 0.0 0.0   1.0
0.800 0.500 0.600   0.0 0.0 0.0   1.0
