# x y z    vx vy vz    mass
0.000 0.000 1.000 0.0 0.0 0.0 1.0
-0.104 -0.095 0.990 0.0 0.0 0.0 1.0
0.017 0.198 0.980 0.0 0.0 0.0 1.0
0.148 -0.193 0.970 0.0 0.0 0.0 1.0
-0.276 0.049 0.960 0.0 0.0 0.0 1.0
0.263 0.168 0.950 0.0 0.0 0.0 1.0
-0.089 -0.329 0.940 0.0 0.0 0.0 1.0
-0.169 0.326 0.930 0.0 0.0 0.0 1.0
0.368 -0.134 0.920 0.0 0.0 0.0 1.0
-0.383 -0.158 0.910 0.0 0.0 0.0 1.0
0.185 0.395 0.900 0.0 0.0 0.0 1.0
0.136 -0.435 0.890 0.0 0.0 0.0 1.0
-0.411 0.238 0.880 0.0 0.0 0.0 1.0
0.482 0.106 0.870 0.0 0.0 0.0 1.0
-0.293 -0.417 0.860 0.0 0.0 0.0 1.0
-0.068 0.522 0.850 0.0 0.0 0.0 1.0
0.415 -0.350 0.840 0.0 0.0 0.0 1.0
-0.557 -0.023 0.830 0.0 0.0 0.0 1.0
0.406 0.404 0.820 0.0 0.0 0.0 1.0
-0.027 -0.586 0.810 0.0 0.0 0.0 1.0
-0.384 0.461 0.800 0.0 0.0 0.0 1.0
0.608 -0.082 0.790 0.0 0.0 0.0 1.0
-0.514 -0.357 0.780 0.0 0.0 0.0 1.0
0.140 0.622 0.770 0.0 0.0 0.0 1.0
0.323 -0.564 0.760 0.0 0.0 0.0 1.0
-0.630 0.201 0.750 0.0 0.0 0.0 1.0
0.611 0.282 0.740 0.0 0.0 0.0 1.0
-0.264 -0.630 0.730 0.0 0.0 0.0 1.0
-0.235 0.653 0.720 0.0 0.0 0.0 1.0
0.623 -0.328 0.710 0.0 0.0 0.0 1.0
-0.691 -0.182 0.700 0.0 0.0 0.0 1.0
0.391 0.609 0.690 0.0 0.0 0.0 1.0
0.124 -0.723 0.680 0.0 0.0 0.0 1.0
-0.587 0.455 0.670 0.0 0.0 0.0 1.0
0.749 0.062 0.660 0.0 0.0 0.0 1.0
-0.516 -0.558 0.650 0.0 0.0 0.0 1.0
0.004 0.768 0.640 0.0 0.0 0.0 1.0
0.522 -0.575 0.630 0.0 0.0 0.0 1.0
-0.781 0.072 0.620 0.0 0.0 0.0 1.0
0.631 0.479 0.610 0.0 0.0 0.0 1.0
-0.143 -0.787 0.600 0.0 0.0 0.0 1.0
-0.430 0.683 0.590 0.0 0.0 0.0 1.0
0.786 -0.215 0.580 0.0 0.0 0.0 1.0
-0.731 -0.375 0.570 0.0 0.0 0.0 1.0
0.288 0.777 0.560 0.0 0.0 0.0 1.0
0.315 -0.774 0.550 0.0 0.0 0.0 1.0
-0.761 0.360 0.540 0.0 0.0 0.0 1.0
0.810 0.250 0.530 0.0 0.0 0.0 1.0
-0.432 -0.737 0.520 0.0 0.0 0.0 1.0
-0.181 0.841 0.510 0.0 0.0 0.0 1.0
0.706 -0.502 0.500 0.0 0.0 0.0 1.0
-0.865 -0.108 0.490 0.0 0.0 0.0 1.0
0.569 0.668 0.480 0.0 0.0 0.0 1.0
0.032 -0.882 0.470 0.0 0.0 0.0 1.0
-0.623 0.632 0.460 0.0 0.0 0.0 1.0
0.892 -0.046 0.450 0.0 0.0 0.0 1.0
-0.692 -0.572 0.440 0.0 0.0 0.0 1.0
0.125 0.894 0.430 0.0 0.0 0.0 1.0
0.515 -0.747 0.420 0.0 0.0 0.0 1.0
-0.889 0.205 0.410 0.0 0.0 0.0 1.0
0.797 0.452 0.400 0.0 0.0 0.0 1.0
-0.284 -0.876 0.390 0.0 0.0 0.0 1.0
-0.384 0.842 0.380 0.0 0.0 0.0 1.0
0.855 -0.363 0.370 0.0 0.0 0.0 1.0
-0.879 -0.311 0.360 0.0 0.0 0.0 1.0
0.440 0.827 0.350 0.0 0.0 0.0 1.0
0.235 -0.911 0.340 0.0 0.0 0.0 1.0
-0.792 0.514 0.330 0.0 0.0 0.0 1.0
0.935 0.156 0.320 0.0 0.0 0.0 1.0
-0.586 -0.749 0.310 0.0 0.0 0.0 1.0
-0.074 0.951 0.300 0.0 0.0 0.0 1.0
0.699 -0.653 0.290 0.0 0.0 0.0 1.0
-0.960 0.009 0.280 0.0 0.0 0.0 1.0
0.716 0.643 0.270 0.0 0.0 0.0 1.0
-0.094 -0.961 0.260 0.0 0.0 0.0 1.0
-0.582 0.774 0.250 0.0 0.0 0.0 1.0
0.954 -0.178 0.240 0.0 0.0 0.0 1.0
-0.826 -0.514 0.230 0.0 0.0 0.0 1.0
0.262 0.940 0.220 0.0 0.0 0.0 1.0
0.442 -0.872 0.210 0.0 0.0 0.0 1.0
-0.917 0.345 0.200 0.0 0.0 0.0 1.0
0.911 0.366 0.190 0.0 0.0 0.0 1.0
-0.426 -0.887 0.180 0.0 0.0 0.0 1.0
-0.286 0.943 0.170 0.0 0.0 0.0 1.0
0.849 -0.503 0.160 0.0 0.0 0.0 1.0
-0.968 -0.203 0.150 0.0 0.0 0.0 1.0
0.577 0.804 0.140 0.0 0.0 0.0 1.0
0.118 -0.984 0.130 0.0 0.0 0.0 1.0
-0.753 0.647 0.120 0.0 0.0 0.0 1.0
0.993 0.031 0.110 0.0 0.0 0.0 1.0
-0.712 -0.695 0.100 0.0 0.0 0.0 1.0
0.056 0.994 0.090 0.0 0.0 0.0 1.0
0.631 -0.772 0.080 0.0 0.0 0.0 1.0
-0.987 0.143 0.070 0.0 0.0 0.0 1.0
0.825 0.562 0.060 0.0 0.0 0.0 1.0
-0.229 -0.972 0.050 0.0 0.0 0.0 1.0
-0.488 0.872 0.040 0.0 0.0 0.0 1.0
0.949 -0.313 0.030 0.0 0.0 0.0 1.0
