# x y z    vx vy vz    mass
0.500 0.500 0.500   0.0 0.0 0.0   1.0
0.500 0.500 0.600   0.0 0.0 0.0   1.0
0.500 0.500 0.700   0.0 0.0 0.0   1.0
0.500 0.500 0.800   0.0 0.0 0.0   1.0
0.500 0.500 0.900   0.0 0.0 0.0   1.0
0.500 0.500 1.000   0.0 0.0 0.0   1.0
0.500 0.500 1.100   0.0 0.0 0.0   1.0
0.500 0.500 1.200   0.0 0.0 0.0   1.0
0.500 0.600 0.500   0.0 0.0 0.0   1.0
0.500 0.600 0.600   0.0 0.0 0.0   1.0
0.500 0.600 0.700   0.0 0.0 0.0   1.0
0.500 0.600 0.800   0.0 0.0 0.0   1.0
0.500 0.600 0.900   0.0 0.0 0.0   1.0
0.500 0.600 1.000   0.0 0.0 0.0   1.0
0.500 0.600 1.100   0.0 0.0 0.0   1.0
0.500 0.600 1.200   0.0 0.0 0.0   1.0
0.500 0.700 0.500   0.0 0.0 0.0   1.0
0.500 0.700 0.600   0.0 0.0 0.0   1.0
0.500 0.700 0.700   0.0 0.0 0.0   1.0
0.500 0.700 0.800   0.0 0.0 0.0   1.0
0.500 0.700 0.900   0.0 0.0 0.0   1.0
0.500 0.700 1.000   0.0 0.0 0.0   1.0
0.500 0.700 1.100   0.0 0.0 0.0   1.0
0.500 0.700 1.200   0.0 0.0 0.0   1.0
0.500 0.800 0.500   0.0 0.0 0.0   1.0
0.500 0.800 0.600   0.0 0.0 0.0   1.0
0.500 0.800 0.700   0.0 0.0 0.0   1.0
0.500 0.800 0.800   0.0 0.0 0.0   1.0
0.500 0.800 0.900   0.0 0.0 0.0   1.0
0.500 0.800 1.000   0.0 0.0 0.0   1.0
0.500 0.800 1.100   0.0 0.0 0.0   1.0
0.500 0.800 1.200   0.0 0.0 0.0   1.0
0.500 0.900 0.500   0.0 0.0 0.0   1.0
0.500 0.900 0.600   0.0 0.0 0.0   1.0
0.500 0.900 0.700   0.0 0.0 0.0   1.0
0.500 0.900 0.800   0.0 0.0 0.0   1.0
0.500 0.900 0.900   0.0 0.0 0.0   1.0
0.500 0.900 1.000   0.0 0.0 0.0   1.0
0.500 0.900 1.100   0.0 0.0 0.0   1.0
0.500 0.900 1.200   0.0 0.0 0.0   1.0
0.500 1.000 0.500   0.0 0.0 0.0   1.0
0.500 1.000 0.600   0.0 0.0 0.0   1.0
0.500 1.000 0.700   0.0 0.0 0.0   1.0
0.500 1.000 0.800   0.0 0.0 0.0   1.0
0.500 1.000 0.900   0.0 0.0 0.0   1.0
0.500 1.000 1.000   0.0 0.0 0.0   1.0
0.500 1.000 1.100   0.0 0.0 0.0   1.0
0.500 1.000 1.200   0.0 0.0 0.0   1.0
0.500 1.100 0.500   0.0 0.0 0.0   1.0
0.500 1.100 0.600   0.0 0.0 0.0   1.0
0.500 1.100 0.700   0.0 0.0 0.0   1.0
0.500 1.100 0.800   0.0 0.0 0.0   1.0
0.500 1.100 0.900   0.0 0.0 0.0   1.0
0.500 1.100 1.000   0.0 0.0 0.0   1.0
0.500 1.100 1.100   0.0 0.0 0.0   1.0
0.500 1.100 1.200   0.0 0.0 0.0   1.0
0.500 1.200 0.500   0.0 0.0 0.0   1.0
0.500 1.200 0.600   0.0 0.0 0.0   1.0
0.500 1.200 0.700   0.0 0.0 0.0   1.0
0.500 1.200 0.800   0.0 0.0 0.0   1.0
0.500 1.200 0.900   0.0 0.0 0.0   1.0
0.500 1.200 1.000   0.0 0.0 0.0   1.0
0.500 1.200 1.100   0.0 0.0 0.0   1.0
0.500 1.200 1.200   0.0 0.0 0.0   1.0
0.600 0.500 0.500   0.0 0.0 0.0   1.0
0.600 0.500 0.600   0.0 0.0 0.0   1.0
0.600 0.500 0.700   0.0 0.0 0.0   1.0
0.600 0.500 0.800   0.0 0.0 0.0   1.0
0.600 0.500 0.900   0.0 0.0 0.0   1.0
0.600 0.500 1.000   0.0 0.0 0.0   1.0
0.600 0.500 1.100   0.0 0.0 0.0   1.0
0.600 0.500 1.200   0.0 0.0 0.0   1.0
0.600 0.600 0.500   0.0 0.0 0.0   1.0
0.600 0.600 0.600   0.0 0.0 0.0   1.0
0.600 0.600 0.700   0.0 0.0 0.0   1.0
0.600 0.600 0.800   0.0 0.0 0.0   1.0
0.600 0.600 0.900   0.0 0.0 0.0   1.0
0.600 0.600 1.000   0.0 0.0 0.0   1.0
0.600 0.600 1.100   0.0 0.0 0.0   1.0
0.600 0.600 1.200   0.0 0.0 0.0   1.0
0.600 0.700 0.500   0.0 0.0 0.0   1.0
0.600 0.700 0.600   0.0 0.0 0.0   1.0
0.600 0.700 0.700   0.0 0.0 0.0   1.0
0.600 0.700 0.800   0.0 0.0 0.0   1.0
0.600 0.700 0.900   0.0 0.0 0.0   1.0
0.600 0.700 1.000   0.0 0.0 0.0   1.0
0.600 0.700 1.100   0.0 0.0 0.0   1.0
0.600 0.700 1.200   0.0 0.0 0.0   1.0
0.600 0.800 0.500   0.0 0.0 0.0   1.0
0.600 0.800 0.600   0.0 0.0 0.0   1.0
0.600 0.800 0.700   0.0 0.0 0.0   1.0
0.600 0.800 0.800   0.0 0.0 0.0   1.0
0.600 0.800 0.900   0.0 0.0 0.0   1.0
0.600 0.800 1.000   0.0 0.0 0.0   1.0
0.600 0.800 1.100   0.0 0.0 0.0   1.0
0.600 0.800 1.200   0.0 0.0 0.0   1.0
0.600 0.900 0.500   0.0 0.0 0.0   1.0
0.600 0.900 0.600   0.0 0.0 0.0   1.0
0.600 0.900 0.700   0.0 0.0 0.0   1.0
0.600 0.900 0.800   0.0 0.0 0.0   1.0
0.600 0.900 0.900   0.0 0.0 0.0   1.0
0.600 0.900 1.000   0.0 0.0 0.0   1.0
0.600 0.900 1.100   0.0 0.0 0.0   1.0
0.600 0.900 1.200   0.0 0.0 0.0   1.0
0.600 1.000 0.500   0.0 0.0 0.0   1.0
0.600 1.000 0.600   0.0 0.0 0.0   1.0
0.600 1.000 0.700   0.0 0.0 0.0   1.0
0.600 1.000 0.800   0.0 0.0 0.0   1.0
0.600 1.000 0.900   0.0 0.0 0.0   1.0
0.600 1.000 1.000   0.0 0.0 0.0   1.0
0.600 1.000 1.100   0.0 0.0 0.0   1.0
0.600 1.000 1.200   0.0 0.0 0.0   1.0
0.600 1.100 0.500   0.0 0.0 0.0   1.0
0.600 1.100 0.600   0.0 0.0 0.0   1.0
0.600 1.100 0.700   0.0 0.0 0.0   1.0
0.600 1.100 0.800   0.0 0.0 0.0   1.0
0.600 1.100 0.900   0.0 0.0 0.0   1.0
0.600 1.100 1.000   0.0 0.0 0.0   1.0
0.600 1.100 1.100   0.0 0.0 0.0   1.0
0.600 1.100 1.200   0.0 0.0 0.0   1.0
0.600 1.200 0.500   0.0 0.0 0.0   1.0
0.600 1.200 0.600   0.0 0.0 0.0   1.0
0.600 1.200 0.700   0.0 0.0 0.0   1.0
0.600 1.200 0.800   0.0 0.0 0.0   1.0
0.600 1.200 0.900   0.0 0.0 0.0   1.0
0.600 1.200 1.000   0.0 0.0 0.0   1.0
0.600 1.200 1.100   0.0 0.0 0.0   1.0
0.600 1.200 1.200   0.0 0.0 0.0   1.0
0.700 0.500 0.500   0.0 0.0 0.0   1.0
0.700 0.500 0.600   0.0 0.0 0.0   1.0
0.700 0.500 0.700   0.0 0.0 0.0   1.0
0.700 0.500 0.800   0.0 0.0 0.0   1.0
0.700 0.500 0.900   0.0 0.0 0.0   1.0
0.700 0.500 1.000   0.0 0.0 0.0   1.0
0.700 0.500 1.100   0.0 0.0 0.0   1.0
0.700 0.500 1.200   0.0 0.0 0.0   1.0
0.700 0.600 0.500   0.0 0.0 0.0   1.0
0.700 0.600 0.600   0.0 0.0 0.0   1.0
0.700 0.600 0.700   0.0 0.0 0.0   1.0
0.700 0.600 0.800   0.0 0.0 0.0   1.0
0.700 0.600 0.900   0.0 0.0 0.0   1.0
0.700 0.600 1.000   0.0 0.0 0.0   1.0
0.700 0.600 1.100   0.0 0.0 0.0   1.0
0.700 0.600 1.200   0.0 0.0 0.0   1.0
0.700 0.700 0.500   0.0 0.0 0.0   1.0
0.700 0.700 0.600   0.0 0.0 0.0   1.0
0.700 0.700 0.700   0.0 0.0 0.0   1.0
0.700 0.700 0.800   0.0 0.0 0.0   1.0
0.700 0.700 0.900   0.0 0.0 0.0   1.0
0.700 0.700 1.000   0.0 0.0 0.0   1.0
0.700 0.700 1.100   0.0 0.0 0.0   1.0
0.700 0.700 1.200   0.0 0.0 0.0   1.0
0.700 0.800 0.500   0.0 0.0 0.0   1.0
0.700 0.800 0.600   0.0 0.0 0.0   1.0
0.700 0.800 0.700   0.0 0.0 0.0   1.0
0.700 0.800 0.800   0.0 0.0 0.0   1.0
0.700 0.800 0.900   0.0 0.0 0.0   1.0
0.700 0.800 1.000   0.0 0.0 0.0   1.0
0.700 0.800 1.100   0.0 0.0 0.0   1.0
0.700 0.800 1.200   0.0 0.0 0.0   1.0
0.700 0.900 0.500   0.0 0.0 0.0   1.0
0.700 0.900 0.600   0.0 0.0 0.0   1.0
0.700 0.900 0.700   0.0 0.0 0.0   1.0
0.700 0.900 0.800   0.0 0.0 0.0   1.0
0.700 0.900 0.900   0.0 0.0 0.0   1.0
0.700 0.900 1.000   0.0 0.0 0.0   1.0
0.700 0.900 1.100   0.0 0.0 0.0   1.0
0.700 0.900 1.200   0.0 0.0 0.0   1.0
0.700 1.000 0.500   0.0 0.0 0.0   1.0
0.700 1.000 0.600   0.0 0.0 0.0   1.0
0.700 1.000 0.700   0.0 0.0 0.0   1.0
0.700 1.000 0.800   0.0 0.0 0.0   1.0
0.700 1.000 0.900   0.0 0.0 0.0   1.0
0.700 1.000 1.000   0.0 0.0 0.0   1.0
0.700 1.000 1.100   0.0 0.0 0.0   1.0
0.700 1.000 1.200   0.0 0.0 0.0   1.0
0.700 1.100 0.500   0.0 0.0 0.0   1.0
0.700 1.100 0.600   0.0 0.0 0.0   1.0
0.700 1.100 0.700   0.0 0.0 0.0   1.0
0.700 1.100 0.800   0.0 0.0 0.0   1.0
0.700 1.100 0.900   0.0 0.0 0.0   1.0
0.700 1.100 1.000   0.0 0.0 0.0   1.0
0.700 1.100 1.100   0.0 0.0 0.0   1.0
